Day	Ex 1	Ex 2	Ac 1	Ac 2
1	1.036	3.142	13.979	88.469
2	0.866	1.430	0.055	34.970
3	10.192	61.304	312.350	23731.742
4	114.547	75.082	1830.671	7311.212
5	16.128	42.598	5430.933	9398.831
6	26.423	37.873	9.290	23.407
7	8.344	5.384	488.217	9695.121
8	48.492	134.069	292.377	788.233
9	33.613	24.582	2436.489	2145.636
10	7.732	10.823	340.106	144.550
11	1563.760	2818.454	1479.887	3462.570
12	20.781	28.533	401.380	3670.332
13	14.309	32.638	363.338	410.250
14	44.843	99.035	110.798	318.535
15	34.173	693.783	1537.624	40922.716
16	16.302	3.527	161.271	123.477
17	273.226	101.361	18012.827	18022.293
18	624.296	1030.203	3460.085	56823.488
19	54000.722	384.344	1978693.036	1818.381
19go	505.354	520.767	18817.172	18930.598
20	98.237	49004.439	5619.821	298294.568
21	213.684	26901.265	63.992	21095.777
22	3038.845	3106.674	2166.419	79442.871
23	24097.248	4101442.944	43826.491	2788622.991
23go	275.144	2628.683	311.936	2482.531
24	8.842	9.771	17623.416	1304815.322
24go	0.0	0.0	5035473.098	303561080.454
25	300.284	7.360	106184.516	922.193
